Category,Name,Friendly Name,Companions,Avoid
VEG,Asparagus,Asparagus,Basil|Carrots|Coriander|Dill|Marigold|Parsley|Tomato,Onion|Garlic|Potato
VEG,Beans,Beans,BrusselsSprouts|Carrots|Cauliflower|Cucumber|Chard|Corn|Eggplant|Kale|Peas|Potatoes|Radishes,Peppers|Sunflower
VEG,BushBeans,Bush Beans,Broccoli|Cabbage|Celery|Peas|Strawberries,
VEG,ClimbingBeans,Climbing Beans,Corn,
VEG,Beets,Beets,Broccoli|BrusselsSprouts|Cabbage|Cauliflower|Chives|Garlic|Kohlrabi|Leeks|Lettuce|Onions||Radishes|Spinach,ClimbingBeans
VEG,Broccoli,Broccoli,Basil|Beet|BushBeans|Carrots|Celery|chamomile|Chard||Cucumber|Dill|Garlic|Lettuce|Marigold|Mint|Nasturtium|Onion|Radish|Rosemary|Sage|Spinach|Thyme,
VEG,BrusselsSprouts,Brussels Sprouts,Sprouts|Basil|Beets|Carrots|Dill|Garlic|Mint|Onion|Marigold|Nasturtium|Thyme,Peppers
VEG,Cabbage,Cabbage,Beets|BushBeans|Celery|Chamomile|Dill|Marigold|Mint|Nasturtium|Onion|Oregano|Potato|Rosemary|Sage|Spearmint,Peppers
VEG,Carrots,Carrots,Beans|Chives|Garlic|Leek|Lettuce|Onion|Parsley|Rosemary|Tomato,Dill|Parsnip|Radish
VEG,Cauliflower,Cauliflower,Beans|Celery|Chamomile|Oregano|Peas|Rosemary|SageSpinach|Sunflower|Tomato,
VEG,Celery,Celery,BushBeans|Cabbage|Cosmos|Cucumber|Daisies|Dill|Leek|Marigolds|Marjoram|Nasturtiums|Snapdragons|Spinach|Tomato,Corn
VEG,Chives,Chives,Basil|Carrots|Marigold|Parsley|Parsnip|Strawberries|Tomato,
VEG,Corn,Corn,ClimbingBeans|Cucumber|Marjoram|Peas|Pumpkin|Squash|Sunflower|Zucchini,Tomato|Celery
VEG,Cucumber,Cucumber,Beans|Celery|Corn|Dill|Lettuce|Marigold|Nasturtium|Peas|Radish,Potato
VEG,Dill,Dill,Cabbage|Corn|Cucumbers|Fennel|Lettuce|Onions,
VEG,Eggplant,Eggplant,Beans|Marjoram|Peppers|Potato,
VEG,Kohlrabi,Kohlrabi,Beets|Cucumber|Lettuce|Nasturtium|Onions|Thyme,
VEG,Leek,Leek,Carrots|Celery|Lettuce|Onions,
VEG,Lettuce,Lettuce,Beans|Beets|Broccoli|Carrots|Corn|Onions|Marigold|Mint|Peas|Radish|Strawberries,Celery|Cabbage
VEG,Marigold,Marigold,Broccoli|Cabbage|Cucumber|Kale|Peppers|Radish|Tomato,
VEG,Onions,Onions,Beets|Cabbage|Carrots|Chamomile|Lettuce|Marjoram|Parsnips|Rosemary|Savory|Strawberry|Tomato,Beans|Peas
VEG,Parsley,Parsley,Asparagus|Beans|Radish|Rosemary|Tomato,Lettuce
VEG,Peas,Peas,BushBeans|BrusselsSprouts|Cabbage|Carrots|Cauliflower|Celery|Corn|Cucumbers|Lettuce|Potatoes|Radishes|Sage|Squash,
VEG,Potato,Potato,Basil|Beans|Celery|Corn|Garlic|Horseradish|Lettuce|Marigolds|Onions|Peas|Spinach|Radishes,Carrot|Cucumber|Pumpkin|Squash|Tomato
VEG,Pumpkin,Pumpkin,Beans|Corn|Marigold|Nasturtium|Squash,Potato
VEG,Radish,Radish,Beets|Cabbage|Carrots|Chives|Cucumber|Garlic|Kale|Leek|Lettuce|Onion|Spinach|Squash,
VEG,Sage,Sage,Beans|Cabbage|Carrots|Peas|Rosemary|Strawberries,Onions|Garlic
VEG,Spinach,Spinach,Beans|Broccoli|BrusselsSprouts|Cabbage|Cauliflower|Celery|Eggplant|Kohlrabi|Leeks|Lettuce|Melons|Nasturtium|Peas|Potatoes|Radishes|Strawberries|Tomato,
VEG,Squash,Squash,Beans|Borage|Corn|Dill|Marigolds|Nasturtium|Peas|Radish|Strawberries|Sunflower,
VEG,Strawberries,Strawberries,Borage|BushBeans|Caraway|Chives|Lettuce|Onions||Sage|Spinach|Squash|,Tomato|Potato|Eggplant|Mint
VEG,Tomato,Tomato,Asparagus|Basil|Borage|Carrots|Celery|Chives|Garlic|Lettuce|Marigolds|Onion|Parsley|Spinach,Corn|Fennel|Peas|Dill|Potato|Beets|Rosemary
VEG,Turnip,Turnip,Peas,
VEG,Zucchini,Zucchini,Beans|Borage|Corn|Dill|Garlic|Marigolds|Nasturtium|Oregano|Peas|Radishes|Spinach,
HRB,Basil,Basil,Asparagus|Broccoli|BrusselsSprouts|Chives|Potato|Tomato,Thyme
HRB,Borage,Borage,Squash|Strawberries|Tomato|Zucchini,
HRB,Caraway,Caraway,Strawberries,Dill
HRB,Chamomile,Chamomile,Broccoli|Cabbage|Cauliflower|Onion,
HRB,Chard,Chard,Beans|Broccoli,
HRB,Coriander,Coriander,Asparagus,
HRB,Cosmos,Cosmos,Celery,
HRB,Daisies,Daisies,Celery,Tomato
HRB,Fennel,Fennel,Dill,Tomato
HRB,Garlic,Garlic,Beets|Broccoli|BrusselsSprouts|Carrots|Potato|Radish|Tomato|Zucchini,
HRB,Horseradish,Horseradish,Potato,Peppers
HRB,Kale,Kale,Beans|Marigold|Radish,
HRB,Marjoram,Marjoram,Celery|Corn|Eggplant|Onion,
HRB,Melons,Melons,Spinach,Strawberries
HRB,Mint,Peppermint,Broccoli|BrusselsSprouts|Cabbage|Lettuce,
HRB,Nasturtium,Nasturtium,Broccoli|BrusselsSprouts|Cabbage|Celery|Cucumber|Kohlrabi|Pumpkin|Spinach|Squash|Zucchini,Cauliflower
HRB,Oregano,Oregano,Cabbage,
